ticker,name,sector,gate_pass,gate_fail_reason,score_q,score_v,score_sr,score_r,score_m,composite_raw,composite_score,incumbent_bonus,grade,role_suggested,tier,satellite_track,is_held,data_gate,sleeve_weight_suggested,portfolio_weight_suggested,as_of
000660,SK하이닉스,semiconductor,True,,92.42,49.05,25.0,25.61,57.44,55.87,55.87,0.0,B,defensive_consumer,Core,False,False,GREEN,4.0,,2026-07-28
005930,삼성전자,반도체/IT하드웨어,True,,50.83,29.99,50.0,27.0,54.29,41.99,41.99,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
402340,SK스퀘어,기타금융,True,,50.83,29.29,50.0,23.98,57.74,41.48,41.48,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
005935,삼성전자우,전기·전자,True,,50.83,50.0,50.0,28.74,55.54,48.16,48.16,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
009150,삼성전기,전기·전자,True,,50.83,12.36,50.0,24.69,59.85,36.47,36.47,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
005380,현대차,운송장비·부품,True,,50.83,62.79,50.0,19.63,20.0,51.09,51.09,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
032830,삼성생명,보험,True,,50.83,47.84,50.0,23.38,54.59,46.98,46.98,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
373220,LG에너지솔루션,전기·전자,True,,50.83,41.99,50.0,11.7,20.9,44.06,44.06,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
028260,삼성물산,유통,True,,50.83,45.8,50.0,22.41,41.05,46.27,46.27,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
329180,HD현대중공업,운송장비·부품,True,,50.83,29.37,50.0,16.1,15.79,40.71,40.71,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
034020,두산에너빌리티,기계·장비,True,,50.83,16.61,50.0,14.1,14.89,36.68,36.68,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
207940,삼성바이오로직스,제약,True,,50.83,24.13,50.0,33.59,36.5,40.89,40.89,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
034730,SK,기타금융,True,,50.83,48.26,50.0,27.06,56.54,47.47,47.47,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
105560,KB금융,은행/금융지주,True,,50.83,68.23,50.0,42.08,86.73,62.29,62.29,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.32,,2026-07-28
012450,한화에어로스페이스,운송장비·부품,True,,50.83,30.24,50.0,13.07,12.63,40.67,40.67,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
000270,기아,자동차,True,,50.83,75.1,50.0,17.6,17.74,54.58,54.58,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
012330,현대모비스,운송장비·부품,True,,50.83,66.99,50.0,19.54,33.98,52.34,52.34,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
055550,신한지주,은행/금융지주,True,,50.83,70.15,50.0,31.88,89.92,62.45,62.45,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.33,,2026-07-28
006400,삼성SDI,전기·전자,True,,50.83,51.0,50.0,22.65,47.97,47.86,47.86,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
010120,LS ELECTRIC,전기·전자,True,,50.83,13.18,50.0,24.61,55.49,36.71,36.71,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
267260,HD현대일렉트릭,전기·전자,True,,50.83,20.06,50.0,18.89,21.2,38.2,38.2,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
068270,셀트리온,제약,True,,50.83,40.88,50.0,25.87,43.89,45.14,45.14,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
298040,효성중공업,전기·전자,True,,50.83,18.04,50.0,21.55,38.35,37.86,37.86,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
066570,LG전자,전기·전자,True,,50.83,44.11,50.0,18.43,53.68,45.37,45.37,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
042660,한화오션,운송장비·부품,True,,50.83,36.29,50.0,12.91,4.81,42.47,42.47,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
086790,하나금융지주,은행/금융지주,True,,50.83,75.06,50.0,45.2,88.13,64.31,64.31,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.41,,2026-07-28
035420,NAVER,IT 서비스,True,,50.83,61.1,50.0,21.07,41.26,50.73,50.73,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
000810,삼성화재,보험,True,,50.83,58.97,50.0,30.21,74.82,56.27,56.27,0.0,B,value_quality,Satellite,True,False,YELLOW,3.06,,2026-07-28
009540,HD한국조선해양,기타금융,True,,50.83,57.39,50.0,17.77,34.35,49.28,49.28,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
000150,두산,전기·전자,True,,50.83,11.06,50.0,21.19,51.28,35.73,35.73,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
042700,한미반도체,기계·장비,True,,50.83,12.42,50.0,19.81,42.56,36.0,36.0,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
005490,POSCO홀딩스,금속,True,,50.83,59.35,50.0,14.47,25.26,49.54,49.54,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
006800,미래에셋증권,증권,True,,50.83,52.32,50.0,17.51,43.76,47.74,47.74,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
011070,LG이노텍,전기·전자,True,,50.83,28.07,50.0,18.23,56.39,40.53,40.53,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
015760,한국전력,전력/유틸리티,True,,50.83,84.93,50.0,11.16,3.01,56.89,56.89,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
010130,고려아연,금속,True,,50.83,44.93,50.0,14.8,6.77,45.25,45.25,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
010140,삼성중공업,운송장비·부품,True,,50.83,31.25,50.0,16.64,13.98,41.33,41.33,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
316140,우리금융지주,기타금융,True,,50.83,81.24,50.0,41.8,63.81,58.84,58.84,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
051910,LG화학,화학,True,,50.83,62.02,50.0,10.0,15.94,49.9,49.9,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
064350,현대로템,운송장비·부품,True,,50.83,32.88,50.0,10.0,4.96,41.15,41.15,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
017670,SK텔레콤,통신,True,,50.83,39.52,50.0,24.65,52.54,44.61,44.61,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
196170,알테오젠,일반서비스,True,,50.83,11.48,50.0,14.23,9.32,35.16,35.16,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
079550,LIG디펜스앤에어로스페이스,금속,True,,50.83,18.22,50.0,24.35,47.67,38.19,38.19,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
138040,메리츠금융지주,기타금융,True,,50.83,65.35,50.0,36.05,65.77,53.5,53.5,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
033780,KT&G,음식료·담배,True,,50.83,51.47,50.0,42.25,89.32,59.6,59.6,0.0,B,momentum_satellite,Satellite,True,False,YELLOW,3.2,,2026-07-28
011200,HMM,운송·창고,True,,50.83,74.53,50.0,27.07,50.0,55.36,55.36,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
267250,HD현대,기타금융,True,,50.83,55.57,50.0,22.34,18.95,49.2,49.2,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
096770,SK이노베이션,화학,True,,50.83,60.68,50.0,23.63,54.51,50.86,50.86,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
024110,기업은행,은행,True,,50.83,86.47,50.0,40.11,39.37,60.24,60.24,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
003670,포스코퓨처엠,전기·전자,True,,50.83,21.9,50.0,11.42,11.88,38.0,38.0,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
272210,한화시스템,전기·전자,True,,50.83,31.22,50.0,13.85,11.58,41.04,41.04,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
003550,LG,기타금융,True,,50.83,65.0,50.0,17.4,40.9,51.53,51.53,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
307950,현대오토에버,IT 서비스,True,,50.83,19.63,50.0,18.24,19.1,38.0,38.0,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
035720,카카오,IT 서비스,True,,50.83,48.33,50.0,12.69,7.82,46.06,46.06,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
247540,에코프로비엠,전기·전자,True,,50.83,14.82,50.0,10.42,10.23,35.78,35.78,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
018260,삼성에스디에스,IT 서비스,True,,50.83,52.28,50.0,18.2,44.21,47.79,47.79,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
086520,에코프로,금융,True,,50.83,37.32,50.0,16.57,18.8,43.14,43.14,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
086280,현대글로비스,운송·창고,True,,50.83,67.46,50.0,21.13,16.99,52.64,52.64,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
047810,한국항공우주,운송장비·부품,True,,50.83,21.73,50.0,25.78,32.94,39.39,39.39,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
278470,에이피알,화학,True,,50.83,19.31,50.0,27.5,57.23,38.83,38.83,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
000720,현대건설,건설,True,,50.83,43.26,50.0,19.54,29.17,45.22,45.22,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
030200,KT,통신/인프라,True,,50.83,76.01,50.0,38.88,46.07,56.98,56.98,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
071050,한국금융지주,증권/금융지주,True,,50.83,75.54,50.0,23.58,42.86,55.31,55.31,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
006260,LS,기타금융,True,,50.83,40.74,50.0,19.45,48.87,44.46,44.46,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
010950,S-Oil,화학,True,,50.83,39.58,50.0,34.73,83.73,55.07,55.07,0.0,B,momentum_satellite,Satellite,True,False,YELLOW,3.0,,2026-07-28
005940,NH투자증권,증권/금융지주,True,,50.83,66.32,50.0,24.01,51.43,52.59,52.59,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
259960,크래프톤,IT 서비스,True,,50.83,60.3,50.0,21.37,39.25,50.52,50.52,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
016360,삼성증권,증권/금융지주,True,,50.83,66.5,50.0,20.79,45.11,52.32,52.32,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
277810,레인보우로보틱스,기계·장비,True,,50.83,7.83,50.0,17.69,19.85,34.41,34.41,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
0126Z0,삼성에피스홀딩스,금융업,True,,50.83,50.22,50.0,13.46,7.07,46.7,46.7,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
323410,카카오뱅크,은행,True,,50.83,52.45,50.0,23.8,42.92,48.41,48.41,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
003490,대한항공,항공/운송,True,,50.83,66.33,50.0,26.7,66.62,52.86,52.86,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
443060,HD현대마린솔루션,일반서비스,True,,50.83,26.65,50.0,18.8,37.59,40.17,40.17,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
039490,키움증권,증권/금융지주,True,,50.83,70.24,50.0,18.28,27.22,53.19,53.19,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
028050,삼성E&A,일반서비스,True,,50.83,56.56,50.0,26.08,56.64,49.87,49.87,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
047050,포스코인터내셔널,유통,True,,50.83,59.16,50.0,14.0,21.65,49.44,49.44,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
352820,하이브,오락·문화,True,,50.83,46.22,50.0,16.25,7.37,45.78,45.78,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
007660,이수페타시스,전기·전자,True,,50.83,22.38,50.0,16.08,13.08,38.61,38.61,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
036930,주성엔지니어링,기계·장비,True,,50.83,12.53,50.0,24.52,60.0,36.5,36.5,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
950160,코오롱티슈진,제약,True,,50.83,50.0,50.0,10.1,0.15,46.3,46.3,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
047040,대우건설,건설,True,,50.83,46.66,50.0,19.38,58.95,46.23,46.23,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
003230,삼양식품,음식료·담배,True,,50.83,37.55,50.0,18.98,41.22,43.45,43.45,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
064400,LG씨엔에스,IT 서비스,True,,50.83,48.21,50.0,13.06,30.98,46.06,46.06,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
000880,한화,화학,True,,50.83,55.89,50.0,15.37,15.04,48.59,48.59,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
240810,원익IPS,기계·장비,True,,50.83,20.52,50.0,22.69,48.57,38.72,38.72,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
005387,현대차2우B,운송장비·부품,True,,50.83,50.0,50.0,15.02,9.62,46.79,46.79,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
161390,한국타이어앤테크놀로지,타이어/화학,True,,50.83,79.49,50.0,33.86,71.97,57.52,57.52,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
180640,한진칼,기타금융,True,,50.83,36.09,50.0,15.54,24.51,42.67,42.67,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
001440,대한전선,전기·전자,True,,50.83,27.49,50.0,15.93,32.18,40.13,40.13,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
353200,대덕전자,전기·전자,True,,50.83,16.97,50.0,23.63,56.69,37.74,37.74,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
000990,DB하이텍,전기·전자,True,,50.83,44.15,50.0,17.76,40.3,45.31,45.31,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
062040,산일전기,전기·전자,True,,50.83,23.03,50.0,17.51,39.85,38.95,38.95,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
058470,리노공업,전기·전자,True,,50.83,24.38,50.0,17.41,36.39,39.35,39.35,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
028300,HLB,제약,True,,50.83,31.64,50.0,13.24,5.71,41.11,41.11,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
004170,신세계,유통,True,,50.83,34.04,50.0,26.26,55.79,43.13,43.13,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
326030,SK바이오팜,일반서비스,True,,50.83,33.32,50.0,12.63,12.18,41.55,41.55,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
034220,LG디스플레이,전기·전자,True,,50.83,56.36,50.0,10.53,16.24,48.25,48.25,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
009830,한화솔루션,화학,True,,50.83,62.35,50.0,10.0,31.13,50.0,50.0,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
032640,LG유플러스,통신,True,,50.83,72.53,50.0,32.31,52.72,55.28,55.28,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
078930,GS,지주/에너지,True,,50.83,81.64,50.0,36.69,91.21,65.55,65.55,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.47,,2026-07-28
454910,두산로보틱스,기계·장비,True,,50.83,30.98,50.0,11.0,3.16,40.68,40.68,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
241560,두산밥캣,기계/산업재,True,,50.83,63.48,50.0,22.54,56.42,51.59,51.59,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
267270,HD건설기계,기계·장비,True,,50.83,56.65,50.0,23.47,43.61,49.63,49.63,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
039030,이오테크닉스,기계·장비,True,,50.83,18.28,50.0,16.4,34.74,37.41,37.41,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
090430,아모레퍼시픽,화학,True,,50.83,49.63,50.0,21.32,43.27,47.31,47.31,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
000500,가온전선,전기·전자,True,,50.83,16.81,50.0,23.94,59.1,37.73,37.73,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
000100,유한양행,제약,True,,50.83,44.0,50.0,13.98,11.13,44.89,44.89,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
011790,SKC,화학,True,,50.83,41.21,50.0,10.0,14.74,43.65,43.65,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
377300,카카오페이,기타금융,True,,50.83,27.72,50.0,15.22,21.5,40.13,40.13,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
029780,삼성카드,기타금융,True,,50.83,81.06,50.0,38.75,33.92,58.48,58.48,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
298380,에이비엘바이오,제약,True,,50.83,29.53,50.0,10.09,0.6,40.16,40.16,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
138930,BNK금융지주,은행/금융지주,True,,50.83,83.68,50.0,40.8,59.92,59.47,59.47,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
036570,NC,IT 서비스,True,,50.83,60.14,50.0,18.05,34.14,50.14,50.14,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
000250,삼천당제약,제약,True,,50.83,10.02,50.0,10.0,2.86,34.3,34.3,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
005385,현대차우,운송장비·부품,True,,50.83,50.0,50.0,15.57,11.43,46.85,46.85,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
141080,리가켐바이오,일반서비스,True,,50.83,33.87,50.0,10.0,4.66,41.45,41.45,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
088980,맥쿼리인프라,기타금융,True,,50.83,50.0,50.0,61.75,51.9,51.47,51.47,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
128940,한미약품,제약,True,,50.83,37.7,50.0,19.56,26.62,43.56,43.56,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
319660,피에스케이,기계·장비,True,,50.83,21.26,50.0,27.54,59.4,39.42,39.42,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
023530,롯데쇼핑,유통,True,,50.83,53.16,50.0,23.24,54.89,48.56,48.56,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
440110,파두,전기·전자,True,,50.83,28.75,50.0,22.11,58.5,41.13,41.13,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
222800,심텍,전기·전자,True,,50.83,35.76,50.0,23.17,54.74,43.34,43.34,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
175330,JB금융지주,기타금융,True,,50.83,78.69,50.0,24.5,58.52,56.35,56.35,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
001040,CJ,기타금융,True,,50.83,48.31,50.0,10.35,13.38,45.82,45.82,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
066970,엘앤에프,전기·전자,True,,50.83,37.98,50.0,14.02,9.92,43.09,43.09,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
087010,펩트론,제약,True,,50.83,29.75,50.0,12.05,2.56,40.42,40.42,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
403870,HPSP,기계·장비,True,,50.83,18.95,50.0,14.86,36.84,37.46,37.46,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
082740,한화엔진,기계·장비,True,,50.83,33.51,50.0,18.71,23.31,42.21,42.21,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
347850,디앤디파마텍,일반서비스,True,,50.83,29.2,50.0,19.49,8.57,41.0,41.0,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
088350,한화생명,생명보험,True,,50.83,85.59,50.0,22.17,51.88,58.18,58.18,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
080220,제주반도체,전기·전자,True,,50.83,15.05,50.0,22.94,57.29,37.1,37.1,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
095340,ISC,유통,True,,50.83,22.48,50.0,20.05,50.38,39.04,39.04,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
052690,한전기술,일반서비스,True,,50.83,27.93,50.0,12.7,9.47,39.94,39.94,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
018880,한온시스템,기계·장비,True,,50.83,57.45,50.0,15.99,40.15,49.12,49.12,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
069960,현대백화점,유통,True,,50.83,59.04,50.0,23.89,52.48,50.39,50.39,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
010060,OCI홀딩스,기타금융,True,,50.83,56.56,50.0,20.01,54.44,49.26,49.26,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
084370,유진테크,기계·장비,True,,50.83,19.91,50.0,21.2,50.83,38.38,38.38,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
004020,현대제철,금속,True,,50.83,70.69,50.0,11.91,24.81,52.69,52.69,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
336260,두산퓨얼셀,전기·전자,True,,50.83,32.42,50.0,11.87,14.59,41.2,41.2,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
108490,로보티즈,기계·장비,True,,50.83,13.07,50.0,20.56,15.49,36.27,36.27,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
178320,서진시스템,전기·전자,True,,50.83,41.77,50.0,18.64,50.23,44.69,44.69,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
214370,케어젠,제약,True,,50.83,12.83,50.0,13.3,16.69,35.47,35.47,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
103590,일진전기,전기·전자,True,,50.83,32.89,50.0,16.56,31.28,41.81,41.81,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
310210,보로노이,일반서비스,True,,50.83,29.64,50.0,11.32,8.27,40.31,40.31,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
067310,하나마이크론,전기·전자,True,,50.83,19.57,50.0,23.78,47.37,38.54,38.54,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
022100,포스코DX,일반서비스,True,,50.83,25.75,50.0,11.52,1.65,39.17,39.17,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
450080,에코프로머티,전기·전자,True,,50.83,26.92,50.0,10.0,3.91,39.37,39.37,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
012510,더존비즈온,IT 서비스,False,low_liquidity,50.83,29.53,50.0,20.48,90.98,53.45,53.45,0.0,Reject,value_quality,—,True,False,RED,4.0,,2026-07-28
095610,테스,기계·장비,True,,50.83,25.83,50.0,25.65,58.2,40.6,40.6,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
051900,LG생활건강,화학,True,,50.83,62.02,50.0,35.39,46.06,52.44,52.44,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
004800,효성,지주/복합기업,True,,50.83,67.42,50.0,20.06,29.02,52.52,52.52,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
111770,영원무역,유통,True,,50.83,75.22,50.0,31.37,67.03,55.99,55.99,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
214450,파마리서치,제약,True,,50.83,38.91,50.0,17.0,26.32,43.66,43.66,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
001450,현대해상,손해보험,True,,50.83,83.46,50.0,35.26,90.68,65.64,65.64,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.47,,2026-07-28
035250,강원랜드,오락·문화,True,,50.83,74.16,50.0,48.97,24.22,57.44,57.44,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
011780,금호석유화학,화학,True,,50.83,77.1,50.0,18.55,34.63,55.28,55.28,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
036460,한국가스공사,전기·가스,True,,50.83,68.33,50.0,39.89,35.07,54.78,54.78,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
031210,서울보증보험,보험,True,,50.83,74.42,50.0,27.15,27.52,55.33,55.33,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
383220,F&F,섬유·의류,True,,50.83,67.13,50.0,31.17,77.88,58.76,58.76,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.17,,2026-07-28
251270,넷마블,IT 서비스,True,,50.83,73.09,50.0,12.21,15.34,53.44,53.44,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
145020,휴젤,제약,True,,50.83,48.96,50.0,15.65,37.44,46.54,46.54,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
139130,iM금융지주,은행/금융지주,True,,50.83,82.48,50.0,37.86,67.6,58.82,58.82,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
214150,클래시스,의료·정밀기기,True,,50.83,40.16,50.0,12.5,17.44,43.59,43.59,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
131290,티에스이,의료·정밀기기,True,,50.83,22.2,50.0,27.81,58.8,39.73,39.73,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
097950,CJ제일제당,음식료·담배,True,,50.83,68.13,50.0,39.89,38.96,54.72,54.72,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
012750,에스원,일반서비스,True,,50.83,60.81,50.0,15.68,43.12,50.1,50.1,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
302440,SK바이오사이언스,제약,True,,50.83,52.56,50.0,13.01,13.53,47.36,47.36,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
483650,달바글로벌,화학,True,,50.83,25.62,50.0,19.0,96.24,53.83,53.83,0.0,C,value_quality,—,True,False,YELLOW,4.0,,2026-07-28
